# omega_d;r_re_0;r_im_0;r_re_1;r_im_1;last_population_1_0;last_population_1_1;last_population_2_0;last_population_2_1;last_res_population_0;last_res_population_1
5001.7749999999996;0.7155294927310798;0.69860325622394293;-0.63970192249928859;0.75926173040448752;0.0070224632007685498;1.0042461695598883;3.6579425518280737e-05;6.8053622292706332e-05;2.3550117636768597;12.939266680474462
5001.7799999999997;0.71344442582177303;0.70073581657198614;-0.65186698816009581;0.74864987317819642;0.0070720010961270296;1.0043059275777875;3.631671178724321e-05;6.9166957415324695e-05;2.3716898103686903;13.032135880944969
5001.7849999999999;0.71133777093321249;0.70287734679676939;-0.66394317464011965;0.73776241321929703;0.007122038102578351;1.004365566456447;3.6052899796420478e-05;7.0317928513353482e-05;2.388536585768203;13.124256120269376
5001.79;0.70920925186376915;0.70502781710139328;-0.67592268330807759;0.72659867952156088;0.0071725800067426876;1.0044250397242338;3.5787990799897234e-05;7.1506687385302828e-05;2.405554058286913;13.21556608143829
5001.7950000000001;0.70705859154852901;0.70718719551601139;-0.68779758622488263;0.71515825839082492;0.0072236326497834074;1.0044842995117671;3.5521986522101789e-05;7.2733353102958788e-05;2.4227442151965546;13.306003509077289
5001.8000000000002;0.70488551205254502;0.70935544815391927;-0.69955983537038002;0.70344100322973602;0.0072752019327911128;1.0045432966155596;3.5254889153455899e-05;7.3998010773254581e-05;2.4401090644521601;13.395505286124029
5001.8050000000003;0.7026897345311689;0.71153253947079387;-0.71120127254805854;0.69144704398522916;0.0073272938225465599;1.004601980568566;3.4986701343572783e-05;7.5300710342020896e-05;2.4576506366434248;13.484007515531914
5001.8100000000004;0.70047097915687795;0.71371843252420131;-0.72271363995558291;0.67917679621086824;0.0073799143576263665;1.0046602997167675;3.4717426192182701e-05;7.6641465445305426e-05;2.4753709870622451;13.571445606873105
5001.8149999999996;0.6982289650127067;0.71591308922958741;-0.73408859140606197;0.66663096969935354;0.007433069654800597;1.0047182013026026;3.4447067238007084e-05;7.8020252313896232e-05;2.4932721978693588;13.657754367692972
5001.8199999999997;0.69596340995027983;0.71811647061132644;-0.74531770419352683;0.6538105766242106;0.0074867659157273154;1.0047756315543912;3.417562844548004e-05;7.9437008738166107e-05;2.5113563803618608;13.742868099534093
5001.8249999999998;0.69367403041871278;0.72032853703995514;-0.75639249155117017;0.64071693917901673;0.0075410094337570784;1.0048325357820496;3.3903114190287153e-05;8.0891633095221587e-05;2.5296256772786556;13.826720698209247
5001.8299999999999;0.69136054125739244;0.72254924845970114;-0.76730441571809616;0.62735169662296197;0.0075958066009806889;1.004888858478415;3.3629529242998113e-05;8.2383983448760674e-05;2.5480822651888029;13.909245758413682
5001.835;0.68902265545965258;0.72477856459759604;-0.77804490155598427;0.61371681172300518;0.0076511639153276712;1.0049445434263466;3.3354878751787719e-05;8.3913876723400483e-05;2.5667283568979382;13.990376682205893
5001.8400000000001;0.68666008390658262;0.72701644515295061;-0.78860535069648385;0.59981457653641845;0.0077070879877121695;1.0049995338111988;3.3079168224234225e-05;8.5481087960118346e-05;2.5855662038717235;14.070046791187202
5001.8450000000003;0.68427253507314889;0.72926284996395563;-0.79897715618198428;0.58564761749503558;0.0077635855491600394;1.0050537723380755;3.2802403508548896e-05;8.7085349657534193e-05;2.604598098654022;14.148189442073917
5001.8500000000004;0.68185971470869644;0.73151773914870211;-0.80915171756245741;0.57121889975253359;0.0078206634578612214;1.0051072013539588;3.2524590774530094e-05;8.8726351203862993e-05;2.6238263772610106;14.224738145360806
5001.8549999999996;0.67942132549471079;0.7337810732174459;-0.81912045640514042;0.55653173076081353;0.0078783287060769404;1.0051597629740472;3.2245736494638734e-05;9.040373840366667e-05;2.6432534215275116;14.299626686730436
5001.8599999999997;0.67695706667987965;0.73605281315624016;-0.82887483218389391;0.54158976302521511;0.0079365884269064664;1.0052113992119172;3.1965847425156966e-05;9.211711310547701e-05;2.6628816614071478;14.372789250942146
5001.8649999999998;0.67446663370191717;0.73833292047371246;-0.83840635847492018;0.52639699604763013;0.0079954499007017146;1.0052620521131996;3.1684930588568651e-05;9.3866032929548396e-05;2.6827135771550061;14.444160547635621
5001.8699999999999;0.67194971779041512;0.74062135721742151;-0.84770661944522052;0.51095777737546499;0.0080549205612833515;1.0053116638921096;3.1402993256422824e-05;9.5650011105366593e-05;2.702751701444571;14.513675938934272
5001.875;0.66940600556067198;0.7429180859520228;-0.85676728655580336;0.49527680277143632;0.0081150080017482525;1.0053601770706944;3.1120042933767151e-05;9.7468516417512834e-05;2.7229986213481214;14.581271568253536
5001.8800000000001;0.66683517859929065;0.74522306970055863;-0.86558013543605172;0.47935911546623083;0.0081757199798817952;1.0054075346198963;3.0836087345145874e-05;9.9320973264406084e-05;2.7434569801851318;14.646884489980309
